Run,Implementation,Mode,TestName,Status,ErrorIEV,OutputFile,NbPktSend,isPass,ErrorOUT,ErrorERR
201,aioquic,server,quic_server_test_version_negociation,,Handshake not completed,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/374/quic_server_test_version_negociation0.iev,0.0,0.0,,
203,aioquic,server,quic_server_test_version_negociation,,require ~_generating & ~queued_non_ack(scid) -> ack_credit(scid) > 0  # [5]+,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/303/quic_server_test_version_negociation0.iev,0.0,0.0,,
204,aioquic,server,quic_server_test_version_negociation,,require ~_generating & ~queued_non_ack(scid) -> ack_credit(scid) > 0  # [5]+,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/389/quic_server_test_version_negociation0.iev,0.0,0.0,,
206,aioquic,server,quic_server_test_version_negociation,,Handshake not completed,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/356/quic_server_test_version_negociation0.iev,0.0,0.0,,
208,aioquic,server,quic_server_test_version_negociation,,Handshake not completed,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/361/quic_server_test_version_negociation0.iev,0.0,0.0,,
209,aioquic,server,quic_server_test_version_negociation,,require ~_generating & ~queued_non_ack(scid) -> ack_credit(scid) > 0  # [5]+,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/380/quic_server_test_version_negociation0.iev,0.0,0.0,,
210,aioquic,server,quic_server_test_retry,,No Error,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/121/quic_server_test_retry0.iev,0.0,1.0,,
212,aioquic,server,quic_server_test_version_negociation,,require ~_generating & ~queued_non_ack(scid) -> ack_credit(scid) > 0  # [5]+,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/311/quic_server_test_version_negociation0.iev,0.0,0.0,,
213,aioquic,server,quic_server_test_version_negociation,,require ~_generating & ~queued_non_ack(scid) -> ack_credit(scid) > 0  # [5]+,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/328/quic_server_test_version_negociation0.iev,0.0,0.0,,
214,aioquic,server,quic_server_test_retry,,require ~_generating & ~queued_non_ack(scid) -> ack_credit(scid) > 0  # [5]+,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/198/quic_server_test_retry0.iev,0.0,0.0,,
215,aioquic,server,quic_server_test_version_negociation,,require ~_generating & ~queued_non_ack(scid) -> ack_credit(scid) > 0  # [5]+,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/348/quic_server_test_version_negociation0.iev,0.0,0.0,,
