Run,Implementation,Mode,TestName,Status,ErrorIEV,OutputFile,NbPktSend,isPass,ErrorsCode
1253,mvfst,client,quic_client_test_retry,,server_return_code(134)+timeout,/home/user/Documents/QUIC-FormalVerification/results/client-retry-vn-2/752/quic_client_test_retry0.iev,1.0,0.0,9
1254,quant,client,quic_client_test_retry,,server_return_code(127)+timeout,/home/user/Documents/QUIC-FormalVerification/results/client-retry-vn-2/276/quic_client_test_retry0.iev,0.0,0.0,4
1255,aioquic,client,quic_client_test_version_negociation,,server_return_code(1)+timeout,/home/user/Documents/QUIC-FormalVerification/results/client-retry-vn-2/1197/quic_client_test_version_negociation0.iev,0.0,0.0,0
1256,mvfst,client,quic_client_test_version_negociation,,server_return_code(134)+timeout,/home/user/Documents/QUIC-FormalVerification/results/client-retry-vn-2/1519/quic_client_test_version_negociation0.iev,1.0,0.0,9
1257,picoquic,client,quic_client_test_version_negociation,,Handshake not completed (unable to proceed VN),/home/user/Documents/QUIC-FormalVerification/results/client-retry-vn-2/938/quic_client_test_version_negociation0.iev,3.0,0.0,5
1258,quinn,client,quic_client_test_retry,,frame.connection_close:{err_code:0xc}+,/home/user/Documents/QUIC-FormalVerification/results/client-retry-vn-2/74/quic_client_test_retry0.iev,8.0,0.0,8
1259,quant,client,quic_client_test_retry,,frame.connection_close:{err_code:0}+,/home/user/Documents/QUIC-FormalVerification/results/client-retry-vn-2/577/quic_client_test_retry0.iev,0.0,0.0,11
1260,quant,client,quic_client_test_version_negociation,,require ~_generating & ~queued_non_ack(scid) -> ack_credit(scid) > 0  # [5]+,/home/user/Documents/QUIC-FormalVerification/results/client-retry-vn-2/1478/quic_client_test_version_negociation0.iev,23.0,0.0,1
1261,quinn,client,quic_client_test_retry,,frame.connection_close:{err_code:0xc}+,/home/user/Documents/QUIC-FormalVerification/results/client-retry-vn-2/94/quic_client_test_retry0.iev,7.0,0.0,8
1262,picoquic,client,quic_client_test_retry,,require ~_generating & ~queued_non_ack(scid) -> ack_credit(scid) > 0  # [5]+,/home/user/Documents/QUIC-FormalVerification/results/client-retry-vn-2/104/quic_client_test_retry0.iev,25.0,0.0,1
1263,aioquic,client,quic_client_test_version_negociation,,server_return_code(1)+timeout,/home/user/Documents/QUIC-FormalVerification/results/client-retry-vn-2/1194/quic_client_test_version_negociation0.iev,0.0,0.0,0
1264,quant,client,quic_client_test_retry,,server_return_code(127)+timeout,/home/user/Documents/QUIC-FormalVerification/results/client-retry-vn-2/293/quic_client_test_retry0.iev,0.0,0.0,4
1265,quant,client,quic_client_test_version_negociation,,server_return_code(127)+timeout,/home/user/Documents/QUIC-FormalVerification/results/client-retry-vn-2/1026/quic_client_test_version_negociation0.iev,0.0,0.0,4
1266,quinn,client,quic_client_test_retry,,frame.connection_close:{err_code:0xc}+,/home/user/Documents/QUIC-FormalVerification/results/client-retry-vn-2/42/quic_client_test_retry0.iev,8.0,0.0,8
1267,quant,client,quic_client_test_retry,,require dcid = rscid+,/home/user/Documents/QUIC-FormalVerification/results/client-retry-vn-2/566/quic_client_test_retry0.iev,0.0,0.0,2
1268,quant,client,quic_client_test_retry,,frame.connection_close:{err_code:0}+,/home/user/Documents/QUIC-FormalVerification/results/client-retry-vn-2/521/quic_client_test_retry0.iev,0.0,0.0,11
1269,quant,client,quic_client_test_retry,,Handshake not completed (undecryptable_packet_event),/home/user/Documents/QUIC-FormalVerification/results/client-retry-vn-2/606/quic_client_test_retry0.iev,43.0,0.0,3
1270,quant,client,quic_client_test_retry,,server_return_code(127)+timeout,/home/user/Documents/QUIC-FormalVerification/results/client-retry-vn-2/205/quic_client_test_retry0.iev,0.0,0.0,4
1271,quant,client,quic_client_test_retry,,frame.connection_close:{err_code:0}+,/home/user/Documents/QUIC-FormalVerification/results/client-retry-vn-2/579/quic_client_test_retry0.iev,0.0,0.0,11
1272,mvfst,client,quic_client_test_version_negociation,,server_return_code(134)+timeout,/home/user/Documents/QUIC-FormalVerification/results/client-retry-vn-2/1585/quic_client_test_version_negociation0.iev,1.0,0.0,9
1273,aioquic,client,quic_client_test_version_negociation,,server_return_code(1)+timeout,/home/user/Documents/QUIC-FormalVerification/results/client-retry-vn-2/1175/quic_client_test_version_negociation0.iev,0.0,0.0,0
1274,aioquic,client,quic_client_test_version_negociation,,server_return_code(1)+timeout,/home/user/Documents/QUIC-FormalVerification/results/client-retry-vn-2/1115/quic_client_test_version_negociation0.iev,0.0,0.0,0
1275,aioquic,client,quic_client_test_retry,,server_return_code(1)+timeout,/home/user/Documents/QUIC-FormalVerification/results/client-retry-vn-2/376/quic_client_test_retry0.iev,0.0,0.0,0
1276,picoquic,client,quic_client_test_version_negociation,,Handshake not completed (unable to proceed VN),/home/user/Documents/QUIC-FormalVerification/results/client-retry-vn-2/987/quic_client_test_version_negociation0.iev,3.0,0.0,5
1277,picoquic,client,quic_client_test_version_negociation,,Handshake not completed (unable to proceed VN),/home/user/Documents/QUIC-FormalVerification/results/client-retry-vn-2/946/quic_client_test_version_negociation0.iev,3.0,0.0,5
