Run,Implementation,Mode,TestName,Status,ErrorIEV,OutputFile,NbPktSend,isPass
59,,server,quic_server_test_retry0,,+,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/54/quic_server_test_retry0.iev,0.0,0.0
60,aioquic,server,quic_server_test_version_negociation0,,require ~_generating & ~queued_non_ack(scid) -> ack_credit(scid) > 0  # [5]+,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/343/quic_server_test_version_negociation0.iev,0.0,0.0
61,aioquic,server,quic_server_test_retry0,,require ~_generating & ~queued_non_ack(scid) -> ack_credit(scid) > 0  # [5]+,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/177/quic_server_test_retry0.iev,0.0,0.0
62,,server,quic_server_test_retry0,,+,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/99/quic_server_test_retry0.iev,0.0,0.0
63,aioquic,server,quic_server_test_retry0,,,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/146/quic_server_test_retry0.iev,0.0,1.0
64,aioquic,server,quic_server_test_retry0,,,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/113/quic_server_test_retry0.iev,0.0,1.0
65,aioquic,server,quic_server_test_retry0,,,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/150/quic_server_test_retry0.iev,0.0,1.0
66,,server,quic_server_test_retry0,,+,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/44/quic_server_test_retry0.iev,0.0,0.0
67,,server,quic_server_test_retry0,,+,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/86/quic_server_test_retry0.iev,0.0,0.0
68,aioquic,server,quic_server_test_version_negociation0,,require ~_generating & ~queued_non_ack(scid) -> ack_credit(scid) > 0  # [5]+,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/368/quic_server_test_version_negociation0.iev,0.0,0.0
69,aioquic,server,quic_server_test_retry0,,,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/157/quic_server_test_retry0.iev,0.0,1.0
70,aioquic,server,quic_server_test_version_negociation0,,require ~_generating & ~queued_non_ack(scid) -> ack_credit(scid) > 0  # [5]+,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/341/quic_server_test_version_negociation0.iev,0.0,0.0
71,aioquic,server,quic_server_test_retry0,,require ~_generating & ~queued_non_ack(scid) -> ack_credit(scid) > 0  # [5]+,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/114/quic_server_test_retry0.iev,0.0,0.0
72,aioquic,server,quic_server_test_version_negociation0,,require ~_generating & ~queued_non_ack(scid) -> ack_credit(scid) > 0  # [5]+,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/396/quic_server_test_version_negociation0.iev,0.0,0.0
73,,server,quic_server_test_retry0,,+,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/25/quic_server_test_retry0.iev,0.0,0.0
74,aioquic,server,quic_server_test_retry0,,require ~_generating & ~queued_non_ack(scid) -> ack_credit(scid) > 0  # [5]+,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/189/quic_server_test_retry0.iev,0.0,0.0
75,aioquic,server,quic_server_test_version_negociation0,,require ~_generating & ~queued_non_ack(scid) -> ack_credit(scid) > 0  # [5]+,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/331/quic_server_test_version_negociation0.iev,0.0,0.0
76,aioquic,server,quic_server_test_retry0,,require ~_generating & ~queued_non_ack(scid) -> ack_credit(scid) > 0  # [5]+,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/183/quic_server_test_retry0.iev,0.0,0.0
77,,server,quic_server_test_retry0,,+,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/92/quic_server_test_retry0.iev,0.0,0.0
78,aioquic,server,quic_server_test_retry0,,,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/193/quic_server_test_retry0.iev,0.0,1.0
79,,server,quic_server_test_retry0,,+,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/0/quic_server_test_retry0.iev,0.0,0.0
80,aioquic,server,quic_server_test_retry0,,require ~_generating & ~queued_non_ack(scid) -> ack_credit(scid) > 0  # [5]+,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/117/quic_server_test_retry0.iev,0.0,0.0
81,aioquic,server,quic_server_test_retry0,,require ~_generating & ~queued_non_ack(scid) -> ack_credit(scid) > 0  # [5]+,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/110/quic_server_test_retry0.iev,0.0,0.0
82,,server,quic_server_test_retry0,,+,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/77/quic_server_test_retry0.iev,0.0,0.0
83,aioquic,server,quic_server_test_version_negociation0,,require ~_generating & ~queued_non_ack(scid) -> ack_credit(scid) > 0  # [5]+,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/382/quic_server_test_version_negociation0.iev,0.0,0.0
84,aioquic,server,quic_server_test_retry0,,require ~_generating & ~queued_non_ack(scid) -> ack_credit(scid) > 0  # [5]+,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/156/quic_server_test_retry0.iev,0.0,0.0
85,aioquic,server,quic_server_test_version_negociation0,,require ~_generating & ~queued_non_ack(scid) -> ack_credit(scid) > 0  # [5]+,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/357/quic_server_test_version_negociation0.iev,0.0,0.0
86,,server,quic_server_test_retry0,,+,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/10/quic_server_test_retry0.iev,0.0,0.0
87,aioquic,server,quic_server_test_retry0,,require ~_generating & ~queued_non_ack(scid) -> ack_credit(scid) > 0  # [5]+,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/155/quic_server_test_retry0.iev,0.0,0.0
88,aioquic,server,quic_server_test_retry0,,require ~_generating & ~queued_non_ack(scid) -> ack_credit(scid) > 0  # [5]+,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/166/quic_server_test_retry0.iev,0.0,0.0
89,aioquic,server,quic_server_test_retry0,,require ~_generating & ~queued_non_ack(scid) -> ack_credit(scid) > 0  # [5]+,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/141/quic_server_test_retry0.iev,0.0,0.0
90,,server,quic_server_test_retry0,,+,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/47/quic_server_test_retry0.iev,0.0,0.0
91,,server,quic_server_test_retry0,,+,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/72/quic_server_test_retry0.iev,0.0,0.0
92,,server,quic_server_test_version_negociation0,,+,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/221/quic_server_test_version_negociation0.iev,0.0,0.0
93,,server,quic_server_test_retry0,,+,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/48/quic_server_test_retry0.iev,0.0,0.0
94,,server,quic_server_test_retry0,,+,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/64/quic_server_test_retry0.iev,0.0,0.0
95,,server,quic_server_test_version_negociation0,,+,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/268/quic_server_test_version_negociation0.iev,0.0,0.0
96,aioquic,server,quic_server_test_version_negociation0,,require ~_generating & ~queued_non_ack(scid) -> ack_credit(scid) > 0  # [5]+,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/326/quic_server_test_version_negociation0.iev,0.0,0.0
97,,server,quic_server_test_retry0,,+,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/97/quic_server_test_retry0.iev,0.0,0.0
98,aioquic,server,quic_server_test_version_negociation0,,require ~_generating & ~queued_non_ack(scid) -> ack_credit(scid) > 0  # [5]+,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/317/quic_server_test_version_negociation0.iev,0.0,0.0
99,,server,quic_server_test_version_negociation0,,+,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/239/quic_server_test_version_negociation0.iev,0.0,0.0
100,,server,quic_server_test_version_negociation0,,+,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/280/quic_server_test_version_negociation0.iev,0.0,0.0
